Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
perkDoughsSousChefName,progression,perk Str,,,"Sous Chef of the Apocalypse",,,,,,,,,,,,,,
perkDoughsSousChefDesc,progression,perk Str,,,"One person enters, one person eats! Create more food out of thin air than you or anyone else left alive knows what to do with.",,,,,,,,,,,,,,
perkDoughsSousChefRank1Desc,progression,perk Str,,,"Its My First Day!",,,,,,,,,,,,,,
perkDoughsSousChefRank1LongDesc,progression,perk Str,,,"Create basic food that most people would know how to make effortlessly. Unlocks basic recipes such as Buttered Toast, Sauteed Mushrooms, Hard Tack, Beef Jerky, and Toasted Seeds. Cook these 10% faster.",,,,,,,,,,,,,,
perkDoughsSousChefRank2Desc,progression,perk Str,,,"Mise en place",,,,,,,,,,,,,,
perkDoughsSousChefRank2LongDesc,progression,perk Str,,,"You are a chef ... for rats. Learning the basics and creating extracts. Unlocks basic recipes such as Pemmican, Boiled Sweet Bread, Bone Marrow, as well as basic extracts and ingredients made from other items. Cook these 20% faster.",,,,,,,,,,,,,,
perkDoughsSousChefRank3Desc,progression,perk Str,,,"À la carte",,,,,,,,,,,,,,
perkDoughsSousChefRank3LongDesc,progression,perk Str,,,"Create simple desserts, base ingredients, and a few simple foods that can barely be choked down. Unlocks recipes such as Sweet Nut Milk, Ice Cream, Sorbets, Turkish Delight, Raw Milk Processing. Cook these 30% faster.",,,,,,,,,,,,,,
perkDoughsSousChefRank4Desc,progression,perk Str,,,"It is somewhat edible",,,,,,,,,,,,,,
perkDoughsSousChefRank4LongDesc,progression,perk Str,,,"Create more advanced recipes and complex ingredients, and a few foods that a starving person would find palatable. Unlocks recipes such as Milk Curds, Butters, Bread preparation, and Cheese. Cook these 40% faster.",,,,,,,,,,,,,,
perkDoughsSousChefRank5Desc,progression,perk Str,,,"Go cook yourself an egg",,,,,,,,,,,,,,
